breadth,exit_buffer,sl,tp,max_pos,leverage,bgap,max_hold_days,final,trades,mwr,pf,sharpe,mdd,win_rate,score,return_pct
0.6,0.98,5.0,40.0,10,1.0,0.12,30,994427.0530000001,890,0.26229508196721313,0.9991637608468728,0.031248861192484764,23.2827029132958,0.5209039548022599,-9991.15,-0.5572946999999884
0.5,0.975,3.0,40.0,10,1.5,0.12,30,493936.79833999823,882,0.2459016393442623,0.7238307595428697,-0.9669466825902061,55.98598416406012,0.5158730158730159,-9991.18,-50.606320166000174
0.5,0.975,3.0,40.0,10,1.5,0.1,30,489727.5983399983,881,0.2459016393442623,0.7215224654881734,-0.9831875018945099,56.2723634345486,0.5153234960272418,-9991.19,-51.027240166000176
0.5,0.98,5.0,40.0,10,1.0,0.12,30,1064610.5560000006,884,0.29508196721311475,1.0373277780477328,0.1710229880438345,17.19744048181111,0.5489749430523918,-9991.22,6.461055600000054
0.5,0.975,5.0,40.0,10,1.0,0.1,30,1206121.2740200015,876,0.2786885245901639,1.1180675297384663,0.38459377536681855,11.155608078394868,0.5582191780821918,-9991.24,20.61212740200016
0.6,0.975,3.0,40.0,10,1.0,0.12,30,885965.9353000005,871,0.26229508196721313,0.9223662929974557,-0.2217440574209504,23.529350835999942,0.5223880597014925,-9991.29,-11.403406469999954
0.6,0.975,5.0,40.0,10,1.0,0.12,30,995231.6078799989,867,0.2459016393442623,1.00023801294619,0.031904812408261506,23.126279749022324,0.5261324041811847,-9991.39,-0.47683921200011303
0.6,0.975,5.0,40.0,10,1.0,0.1,30,989500.6339399994,860,0.2459016393442623,0.9932160625433527,0.02346401539566696,25.89410320002012,0.5232558139534884,-9991.4,-1.049936606000057
0.6,0.975,3.0,40.0,10,1.0,0.1,30,656560.8245199998,858,0.19672131147540983,0.7666616871188375,-0.8905624551728004,36.58049398800003,0.4953161592505855,-9991.46,-34.34391754800002
0.5,0.975,5.0,40.0,10,1.0,0.12,30,875449.3763200007,848,0.26229508196721313,0.9328250051182339,-0.19970983194844252,26.191032763336953,0.5259433962264151,-9991.52,-12.455062367999925
0.5,0.975,3.0,40.0,10,1.0,0.12,30,670275.4860800001,842,0.2459016393442623,0.7832250039223084,-0.7014475509893593,37.028555321629845,0.5118764845605701,-9991.58,-32.97245139199999
0.5,0.975,3.0,40.0,10,1.0,0.1,30,671883.7308000001,838,0.22950819672131148,0.7841045337486164,-0.7144011612968775,36.95160755999151,0.513126491646778,-9991.62,-32.81162691999998
0.6,0.98,3.0,40.0,5,1.0,0.1,30,585644.4651199998,600,0.26229508196721313,0.7777269843289893,-0.43120823543493253,54.9494379545145,0.4991624790619765,-9994.03,-41.43555348800002
0.6,0.975,3.0,40.0,5,1.0,0.1,30,587711.637080001,596,0.2459016393442623,0.7918628513160672,-0.5675459552549976,46.91177194157553,0.5042158516020236,-9994.07,-41.228836291999905
0.5,0.98,3.0,40.0,5,1.0,0.12,30,795789.80098,591,0.2459016393442623,0.9096252131643376,-0.13851084067984845,45.27826629950149,0.5313028764805414,-9994.09,-20.421019901999994
0.5,0.98,3.0,40.0,5,1.0,0.1,30,841908.8569199992,592,0.22950819672131148,0.9293028808535916,-0.05374238807987659,45.822522689455695,0.523728813559322,-9994.1,-15.809114308000073
0.6,0.98,5.0,40.0,5,1.0,0.1,30,664556.1672800002,588,0.2459016393442623,0.8348650088346952,-0.29076870732630644,42.828715722884155,0.5034013605442177,-9994.12,-33.544383271999976
0.6,0.975,5.0,40.0,5,1.0,0.1,30,804446.0251399988,589,0.22950819672131148,0.9171841811294515,-0.17721665552047422,39.71847041909673,0.5519591141396933,-9994.13,-19.555397486000125
0.6,0.975,3.0,40.0,5,1.0,0.12,30,585756.4282600011,590,0.22950819672131148,0.79931285962107,-0.537081148970837,47.21015161923623,0.524701873935264,-9994.13,-41.424357173999894
0.6,0.975,3.0,40.0,5,2.0,0.1,30,921103.4608399995,587,0.2459016393442623,0.982021666727796,0.08259817071699398,44.72880910179287,0.535958904109589,-9994.16,-7.88965391600005
0.6,0.98,5.0,40.0,5,1.5,0.12,30,283241.4883999997,586,0.19672131147540983,0.702317465966483,-1.337093934662911,72.52718007686748,0.47855917667238423,-9994.17,-71.67585116000004
0.6,0.98,3.0,40.0,5,1.0,0.12,30,481522.76952000085,586,0.21311475409836064,0.7165815561226352,-1.0014732359093055,54.68538414199142,0.5248713550600344,-9994.17,-51.847723047999914
0.6,0.98,5.0,40.0,5,1.5,0.1,30,277417.37340000004,584,0.21311475409836064,0.6887040570133661,-1.2781805350057274,73.01251238060284,0.47332185886402756,-9994.19,-72.25826266
0.6,0.975,5.0,40.0,5,1.0,0.12,30,815046.7878599996,582,0.2459016393442623,0.9258976659504073,-0.15129603255367932,33.98229535339598,0.5568965517241379,-9994.2,-18.495321214000036
0.6,0.98,5.0,40.0,5,1.0,0.12,30,689659.031719999,580,0.22950819672131148,0.8690585490699179,-0.2627569618426358,45.89652647390739,0.5568965517241379,-9994.2,-31.03409682800009
0.6,0.98,3.0,40.0,5,2.0,0.1,30,216416.45975999977,579,0.18032786885245902,0.6913194538565209,-1.0406117638022268,80.96376117021636,0.5,-9994.24,-78.35835402400002
