日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260228,2804,ブルドックソース,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20260228,2805,ヱスビー食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260228,2806,ユタカフーズ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260228,2809,キユーピー,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20260228,280A,ＴＭＨ,グロース（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,2810,ハウス食品グループ本社,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20260228,2811,カゴメ,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20260228,2813,和弘食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260228,2814,佐藤食品工業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260228,2815,アリアケジャパン,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
