コード,銘柄名,市場・商品区分
1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,ETF・ETN
1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,ETF・ETN
163A,半導体フォーカス　日本株（ネットリターン）ＥＴＮ,ETF・ETN
164A,アップルパーク,PRO Market
1651,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,ETF・ETN
1652,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,ETF・ETN
1653,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,ETF・ETN
1654,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　ＪＰＸ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,ETF・ETN
1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,ETF・ETN
1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,ETF・ETN
1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,ETF・ETN
1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,ETF・ETN
1659,ｉシェアーズ　米国リート　ＥＴＦ,ETF・ETN
1660,ＭＡＸＩＳ高利回りＪリート上場投信,ETF・ETN
1662,石油資源開発,プライム（内国株式）
1663,Ｋ＆Ｏエナジーグループ,プライム（内国株式）
166A,タスキホールディングス,グロース（内国株式）
1671,ＷＴＩ原油価格連動型上場投信,ETF・ETN
1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,ETF・ETN
1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,ETF・ETN
1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,ETF・ETN
1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,ETF・ETN
1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,ETF・ETN
1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,ETF・ETN
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,ETF・ETN
1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,ETF・ETN
167A,リョーサン菱洋ホールディングス,プライム（内国株式）
1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,ETF・ETN
1681,上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）,ETF・ETN
1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,ETF・ETN
1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,ETF・ETN
1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,ETF・ETN
1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,ETF・ETN
